2026-06-08 21:13:15 | admin | READ | gcp | nano-iaas-prod | 0 registros
2026-06-08 21:13:17 | admin | READ | gcp | nano-iaas-backup | 0 registros
2026-06-08 21:13:30 | admin | LIST | gcp | - | 3 recursos
2026-06-08 21:13:32 | admin | READ | gcp | nano-iaas-dev | 6 registros
2026-06-08 21:13:34 | admin | LIST | gcp | - | 3 recursos
2026-06-08 21:13:34 | admin | LIST | aws | - | 3 recursos
2026-06-08 21:13:34 | admin | LIST | azure | - | 3 recursos
2026-06-08 21:13:35 | admin | READ | gcp | nano-iaas-dev | 6 registros
2026-06-08 21:13:39 | admin | LIST | azure | - | 3 recursos
2026-06-08 21:13:39 | admin | LIST | aws | - | 3 recursos
2026-06-08 21:13:39 | admin | LIST | gcp | - | 3 recursos
2026-06-08 21:13:40 | admin | READ | gcp | nano-iaas-prod | 0 registros
2026-06-08 21:13:45 | admin | LIST | gcp | - | 3 recursos
2026-06-08 21:13:46 | admin | READ | gcp | nano-iaas-prod | 0 registros
2026-06-08 21:13:47 | admin | READ | gcp | nano-iaas-backup | 0 registros
2026-06-08 21:13:52 | admin | READ | gcp | nano-iaas-prod | 0 registros
2026-06-08 21:14:06 | admin | READ | gcp | nano-iaas-prod | 0 registros
2026-06-08 21:14:07 | admin | READ | gcp | nano-iaas-dev | 6 registros
2026-06-08 21:14:09 | admin | LIST | gcp | - | 3 recursos
2026-06-08 21:14:10 | admin | READ | gcp | nano-iaas-backup | 0 registros
2026-06-08 21:14:11 | admin | READ | gcp | nano-iaas-prod | 0 registros
2026-06-08 21:14:12 | admin | READ | gcp | nano-iaas-dev | 6 registros
2026-06-08 21:14:14 | admin | LIST | gcp | - | 3 recursos
2026-06-08 21:14:14 | admin | LIST | azure | - | 3 recursos
2026-06-08 21:14:14 | admin | LIST | aws | - | 3 recursos
2026-06-08 21:14:15 | admin | LIST | gcp | - | 3 recursos
2026-06-08 21:14:16 | admin | READ | gcp | nano-iaas-backup | 0 registros
2026-06-08 21:14:55 | admin | READ | gcp | nano-iaas-backup | 0 registros
2026-06-08 21:14:56 | admin | READ | gcp | nano-iaas-prod | 0 registros
2026-06-08 21:14:58 | admin | LIST | azure | - | 3 recursos
2026-06-08 21:14:59 | admin | READ | azure | nano-iaas-data | 6 registros
2026-06-08 21:15:02 | admin | LIST | gcp | - | 3 recursos
2026-06-08 21:15:02 | admin | LIST | azure | - | 3 recursos
2026-06-08 21:15:02 | admin | LIST | aws | - | 3 recursos
2026-06-08 21:15:06 | admin | READ | azure | nano-iaas-logs | 0 registros
2026-06-08 21:15:07 | admin | READ | azure | nano-iaas-backups | 0 registros
2026-06-08 21:15:08 | admin | READ | aws | nano-iaas-raw | 6 registros
2026-06-08 21:15:10 | admin | LIST | gcp | - | 3 recursos
2026-06-08 21:15:10 | admin | LIST | azure | - | 3 recursos
2026-06-08 21:15:10 | admin | LIST | aws | - | 3 recursos
2026-06-08 21:15:12 | admin | READ | aws | nano-iaas-processed | 0 registros
2026-06-08 21:15:18 | admin | LIST | aws | - | 3 recursos
2026-06-08 21:15:19 | admin | READ | aws | nano-iaas-raw | 6 registros
2026-06-08 21:15:24 | admin | LIST | aws | - | 3 recursos
2026-06-08 21:15:25 | admin | READ | aws | nano-iaas-processed | 0 registros
2026-06-08 21:15:37 | admin | READ | aws | nano-iaas-archive | 0 registros
2026-06-08 21:15:53 | admin | LIST | azure | - | 3 recursos
2026-06-08 21:15:55 | admin | READ | azure | nano-iaas-data | 6 registros
2026-06-08 21:15:59 | admin | LIST | azure | - | 3 recursos
2026-06-08 21:15:59 | admin | LIST | aws | - | 3 recursos
2026-06-08 21:15:59 | admin | LIST | gcp | - | 3 recursos
2026-06-08 21:16:03 | admin | LIST | gcp | - | 3 recursos
2026-06-08 21:16:03 | admin | LIST | azure | - | 3 recursos
2026-06-08 21:16:03 | admin | LIST | aws | - | 3 recursos
2026-06-08 21:27:33 | admin | LIST | azure | - | 3 recursos
2026-06-08 21:27:33 | admin | LIST | gcp | - | 3 recursos
2026-06-08 21:27:33 | admin | LIST | aws | - | 3 recursos
2026-06-08 21:28:08 | admin | LIST | gcp | - | 3 recursos
2026-06-08 21:28:08 | admin | LIST | azure | - | 3 recursos
2026-06-08 21:28:08 | admin | LIST | aws | - | 3 recursos
2026-06-08 21:28:17 | admin | LIST | gcp | - | 3 recursos
2026-06-08 21:28:17 | admin | LIST | aws | - | 3 recursos
2026-06-08 21:28:17 | admin | LIST | azure | - | 3 recursos
2026-06-08 21:28:23 | admin | LIST | gcp | - | 3 recursos
2026-06-08 21:28:23 | admin | LIST | aws | - | 3 recursos
2026-06-08 21:28:23 | admin | LIST | azure | - | 3 recursos
2026-06-08 21:28:24 | admin | LIST | aws | - | 3 recursos
2026-06-08 21:28:24 | admin | LIST | azure | - | 3 recursos
2026-06-08 21:28:25 | admin | LIST | gcp | - | 3 recursos
2026-06-08 21:28:27 | admin | LIST | azure | - | 3 recursos
2026-06-08 21:28:27 | admin | LIST | aws | - | 3 recursos
2026-06-08 21:28:27 | admin | LIST | gcp | - | 3 recursos
2026-06-08 21:28:28 | admin | LIST | aws | - | 3 recursos
2026-06-08 21:28:28 | admin | LIST | azure | - | 3 recursos
2026-06-08 21:28:28 | admin | LIST | gcp | - | 3 recursos
2026-06-08 21:28:39 | admin | LIST | gcp | - | 3 recursos
2026-06-08 21:28:40 | admin | LIST | azure | - | 3 recursos
2026-06-08 21:28:40 | admin | LIST | aws | - | 3 recursos
2026-06-08 21:28:41 | admin | LIST | gcp | - | 3 recursos
2026-06-08 21:28:41 | admin | LIST | azure | - | 3 recursos
2026-06-08 21:28:41 | admin | LIST | aws | - | 3 recursos
2026-06-08 21:32:06 | admin | LIST | gcp | - | 3 recursos
2026-06-08 21:32:06 | admin | LIST | azure | - | 3 recursos
2026-06-08 21:32:07 | admin | LIST | aws | - | 3 recursos
2026-06-08 21:32:07 | admin | LIST | gcp | - | 3 recursos
2026-06-08 21:32:07 | admin | LIST | azure | - | 3 recursos
2026-06-08 21:32:07 | admin | LIST | aws | - | 3 recursos
